"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\adminlte.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\adminlte.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\adminlte.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\adminlte.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 4, 24
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\adminlte.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\iframe.php", "PHP", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\hr\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\hu\adminlte.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\id\adminlte.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\licor-house\lang\vendor\adminlte\id\menu.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
